Date,Winner,Pts,Loser,Pts
Oct 10 2020,Duke,38,Syracuse,24
Oct 10 2020,East Carolina,44,South Florida,24
Oct 10 2020,Georgia,44,Tennessee,21
Oct 10 2020,Iowa State,31,Texas Tech,15
Oct 10 2020,Kansas State,21,Texas Christian,14
Oct 10 2020,Kentucky,24,Mississippi State,2
Oct 10 2020,Liberty,40,Louisiana-Monroe,7
Oct 10 2020,Louisiana Tech,21,Texas-El Paso,17
Oct 10 2020,Marshall,38,Western Kentucky,14
Oct 10 2020,Middle Tennessee State,31,Florida International,28
Oct 10 2020,Missouri,45,Louisiana State,41
Oct 10 2020,Navy,31,Temple,29
Oct 10 2020,North Carolina,56,Virginia Tech,45
Oct 10 2020,North Carolina State,38,Virginia,21
Oct 10 2020,Notre Dame,42,Florida State,26
Oct 10 2020,Oklahoma,53,Texas,45
Oct 10 2020,South Carolina,41,Vanderbilt,7
Oct 10 2020,Texas A&M,41,Florida,38
Oct 10 2020,Troy,37,Texas State,17
//7
Oct 14 2020,Coastal Carolina,30,Louisiana,27
Oct 15 2020,Arkansas State,59,Georgia State,52
Oct 16 2020,Brigham Young,43,Houston,26
Oct 16 2020,Southern Methodist,37,Tulane,34
Oct 17 2020,Alabama,41,Georgia,24
Oct 17 2020,Alabama-Birmingham,37,Western Kentucky,14
Oct 17 2020,Arkansas,33,Mississippi,21
Oct 17 2020,Army,28,Texas-San Antonio,16
Oct 17 2020,Clemson,73,Georgia Tech,7
Oct 17 2020,Florida State,31,North Carolina,28
Oct 17 2020,Georgia Southern,41,Massachusetts,0
Oct 17 2020,Kentucky,34,Tennessee,7
Oct 17 2020,Liberty,38,Syracuse,21
Oct 17 2020,Marshall,35,Louisiana Tech,17
Oct 17 2020,Memphis,50,Central Florida,49
Oct 17 2020,Miami (FL),31,Pittsburgh,19
Oct 17 2020,Navy,27,East Carolina,23
Oct 17 2020,North Carolina State,31,Duke,20
Oct 17 2020,North Texas,52,Middle Tennessee State,35
Oct 17 2020,Notre Dame,12,Louisville,7
Oct 17 2020,South Alabama,30,Texas State,20
Oct 17 2020,South Carolina,30,Auburn,22
Oct 17 2020,Temple,39,South Florida,37
Oct 17 2020,Texas A&M,28,Mississippi State,14
Oct 17 2020,Troy,31,Eastern Kentucky,29
Oct 17 2020,Virginia Tech,40,Boston College,14
Oct 17 2020,Wake Forest,40,Virginia,23
Oct 17 2020,West Virginia,38,Kansas,17
